1,17
2,19
3,41
4,28
5,20
6,12
7,34
8,11
9,73
10,55
11,82
12,54
13,46
14,38
15,20
16,47
17,34
18,96
19,73
20,45
21,62
22,69
23,86
24,73
25,55
26,77
27,84
28,71
29,93
30,100
31,57
32,64
33,81
34,68
35,85
36,117
37,129
38,121
39,103
40,80
41,117
42,79
43,91
44,88
45,100
46,112
47,119
48,136
49,88
50,125
51,142
52,109
53,101
54,108
55,130
56,152
57,159
58,116
59,158
60,150
61,162
62,114
63,121
64,133
65,185
66,142
67,174
68,141
69,148
70,145
71,202
72,154
73,146
74,178
75,180
76,157
77,174
78,161
79,168
80,145
81,177
82,164
83,206
84,203
85,175
86,227
87,194
88,191
89,228
90,200
91,232
92,194
93,246
94,228
95,235
96,177
97,234
98,226
99,228
100,230
